[2025-08-11 11:48:57] ℹ️ Processo 71000.012977/2024-01 sem links.
[2025-08-11 11:48:57] Iniciando scraping do processo: 71000.075023/2024-00
[2025-08-11 11:49:00] ℹ️ Processo 71000.075023/2024-00 sem links.
[2025-08-11 11:49:00] Iniciando scraping do processo: 71000.016902/2024-91
[2025-08-11 11:49:02] ℹ️ Processo 71000.016902/2024-91 sem links.
[2025-08-11 11:49:02] Iniciando scraping do processo: 71000.016733/2024-90
[2025-08-11 11:49:05] ℹ️ Processo 71000.016733/2024-90 sem links.
[2025-08-11 11:49:05] Iniciando scraping do processo: 71000.087827/2024-43
[2025-08-11 11:49:08] ℹ️ Processo 71000.087827/2024-43 sem links.
[2025-08-11 11:49:08] Iniciando scraping do processo: 71000.014238/2024-46
[2025-08-11 11:49:11] ℹ️ Processo 71000.014238/2024-46 sem links.
[2025-08-11 11:49:11] Iniciando scraping do processo: 71000.012673/2024-36
[2025-08-11 11:49:14] ℹ️ Processo 71000.012673/2024-36 sem links.
[2025-08-11 11:49:14] Iniciando scraping do processo: 71000.016970/2024-51
[2025-08-11 11:49:16] ℹ️ Processo 71000.016970/2024-51 sem links.
[2025-08-11 11:49:16] Iniciando scraping do processo: 71000.016561/2024-54
[2025-08-11 11:49:20] ℹ️ Processo 71000.016561/2024-54 sem links.
[2025-08-11 11:49:20] Iniciando scraping do processo: 71000.041409/2024-18
[2025-08-11 11:49:23] ℹ️ Processo 71000.041409/2024-18 sem links.
[2025-08-11 11:49:23] Iniciando scraping do processo: 71000.056836/2024-92
[2025-08-11 11:49:25] ℹ️ Processo 71000.056836/2024-92 sem links.
[2025-08-11 11:49:26] Iniciando scraping do processo: 71000.056835/2024-48
[2025-08-11 11:49:28] ℹ️ Processo 71000.056835/2024-48 sem links.
[2025-08-11 11:49:28] Iniciando scraping do processo: 71000.011173/2024-87
[2025-08-11 11:49:31] ℹ️ Processo 71000.011173/2024-87 sem links.
[2025-08-11 11:49:31] Iniciando scraping do processo: 71000.061435/2024-54
[2025-08-11 11:49:34] ℹ️ Processo 71000.061435/2024-54 sem links.
[2025-08-11 11:49:34] Iniciando scraping do processo: 71000.035664/2024-13
[2025-08-11 11:49:37] ℹ️ Processo 71000.035664/2024-13 sem links.
[2025-08-11 11:49:37] Iniciando scraping do processo: 71000.041167/2024-54
[2025-08-11 11:49:39] ℹ️ Processo 71000.041167/2024-54 sem links.
[2025-08-11 11:49:39] Iniciando scraping do processo: 71000.061440/2024-67
[2025-08-11 11:49:42] ℹ️ Processo 71000.061440/2024-67 sem links.
[2025-08-11 11:49:42] Iniciando scraping do processo: 71000.043356/2024-61
[2025-08-11 11:49:45] ℹ️ Processo 71000.043356/2024-61 sem links.
[2025-08-11 11:49:45] Iniciando scraping do processo: 71000.043222/2024-41
[2025-08-11 11:49:47] ℹ️ Processo 71000.043222/2024-41 sem links.
[2025-08-11 11:49:47] Iniciando scraping do processo: 71000.046237/2024-61
[2025-08-11 11:49:50] ℹ️ Processo 71000.046237/2024-61 sem links.
[2025-08-11 11:49:50] Iniciando scraping do processo: 71000.042025/2024-12
[2025-08-11 11:49:54] ℹ️ Processo 71000.042025/2024-12 sem links.
[2025-08-11 11:49:54] Iniciando scraping do processo: 71000.043231/2024-31
[2025-08-11 11:49:56] ℹ️ Processo 71000.043231/2024-31 sem links.
[2025-08-11 11:49:56] Iniciando scraping do processo: 71000.016721/2024-65
[2025-08-11 11:49:59] ℹ️ Processo 71000.016721/2024-65 sem links.
[2025-08-11 11:49:59] Iniciando scraping do processo: 71000.011172/2024-32
[2025-08-11 11:50:02] ℹ️ Processo 71000.011172/2024-32 sem links.
[2025-08-11 11:50:02] Iniciando scraping do processo: 71000.042253/2024-84
[2025-08-11 11:50:04] ℹ️ Processo 71000.042253/2024-84 sem links.
[2025-08-11 11:50:04] Iniciando scraping do processo: 71000.035689/2024-17
[2025-08-11 11:50:07] ℹ️ Processo 71000.035689/2024-17 sem links.
[2025-08-11 11:50:07] Iniciando scraping do processo: 71000.040941/2024-18
[2025-08-11 11:50:10] ℹ️ Processo 71000.040941/2024-18 sem links.
[2025-08-11 11:50:10] Iniciando scraping do processo: 71000.012059/2024-74
[2025-08-11 11:50:12] ℹ️ Processo 71000.012059/2024-74 sem links.
[2025-08-11 11:50:12] Iniciando scraping do processo: 71000.016786/2024-19
[2025-08-11 11:50:15] ℹ️ Processo 71000.016786/2024-19 sem links.
