[2025-07-14 08:23:56] Iniciando scraping do processo: 71000.018231/2024-01
[2025-07-14 08:23:58] ℹ️ Processo 71000.018231/2024-01 sem links.
[2025-07-14 08:23:58] Iniciando scraping do processo: 71000.042741/2024-91
[2025-07-14 08:24:01] ℹ️ Processo 71000.042741/2024-91 sem links.
[2025-07-14 08:24:01] Iniciando scraping do processo: 71000.053067/2024-71
[2025-07-14 08:24:04] ℹ️ Processo 71000.053067/2024-71 sem links.
[2025-07-14 08:24:04] Iniciando scraping do processo: 71000.012977/2024-01
[2025-07-14 08:24:07] ℹ️ Processo 71000.012977/2024-01 sem links.
[2025-07-14 08:24:07] Iniciando scraping do processo: 71000.075023/2024-00
[2025-07-14 08:24:09] ℹ️ Processo 71000.075023/2024-00 sem links.
[2025-07-14 08:24:09] Iniciando scraping do processo: 71000.016902/2024-91
[2025-07-14 08:24:12] ℹ️ Processo 71000.016902/2024-91 sem links.
[2025-07-14 08:24:12] Iniciando scraping do processo: 71000.016733/2024-90
[2025-07-14 08:24:14] ℹ️ Processo 71000.016733/2024-90 sem links.
[2025-07-14 08:24:14] Iniciando scraping do processo: 71000.087827/2024-43
[2025-07-14 08:24:17] ℹ️ Processo 71000.087827/2024-43 sem links.
[2025-07-14 08:24:17] Iniciando scraping do processo: 71000.014238/2024-46
[2025-07-14 08:24:21] ℹ️ Processo 71000.014238/2024-46 sem links.
[2025-07-14 08:24:21] Iniciando scraping do processo: 71000.012673/2024-36
[2025-07-14 08:24:24] ℹ️ Processo 71000.012673/2024-36 sem links.
[2025-07-14 08:24:24] Iniciando scraping do processo: 71000.016970/2024-51
[2025-07-14 08:24:26] ℹ️ Processo 71000.016970/2024-51 sem links.
[2025-07-14 08:24:27] Iniciando scraping do processo: 71000.016561/2024-54
[2025-07-14 08:24:29] ℹ️ Processo 71000.016561/2024-54 sem links.
[2025-07-14 08:24:29] Iniciando scraping do processo: 71000.041409/2024-18
[2025-07-14 08:24:32] ℹ️ Processo 71000.041409/2024-18 sem links.
[2025-07-14 08:24:32] Iniciando scraping do processo: 71000.056836/2024-92
[2025-07-14 08:24:35] ℹ️ Processo 71000.056836/2024-92 sem links.
[2025-07-14 08:24:35] Iniciando scraping do processo: 71000.056835/2024-48
[2025-07-14 08:24:38] ℹ️ Processo 71000.056835/2024-48 sem links.
[2025-07-14 08:24:38] Iniciando scraping do processo: 71000.011173/2024-87
[2025-07-14 08:24:41] ℹ️ Processo 71000.011173/2024-87 sem links.
[2025-07-14 08:24:41] Iniciando scraping do processo: 71000.061435/2024-54
[2025-07-14 08:24:44] ℹ️ Processo 71000.061435/2024-54 sem links.
[2025-07-14 08:24:44] Iniciando scraping do processo: 71000.035664/2024-13
[2025-07-14 08:24:46] ℹ️ Processo 71000.035664/2024-13 sem links.
[2025-07-14 08:24:46] Iniciando scraping do processo: 71000.041167/2024-54
[2025-07-14 08:24:49] ℹ️ Processo 71000.041167/2024-54 sem links.
[2025-07-14 08:24:49] Iniciando scraping do processo: 71000.061440/2024-67
[2025-07-14 08:24:52] ℹ️ Processo 71000.061440/2024-67 sem links.
[2025-07-14 08:24:52] Iniciando scraping do processo: 71000.043356/2024-61
[2025-07-14 08:24:55] ℹ️ Processo 71000.043356/2024-61 sem links.
[2025-07-14 08:24:55] Iniciando scraping do processo: 71000.043222/2024-41
[2025-07-14 08:24:57] ℹ️ Processo 71000.043222/2024-41 sem links.
[2025-07-14 08:24:57] Iniciando scraping do processo: 71000.046237/2024-61
[2025-07-14 08:25:00] ℹ️ Processo 71000.046237/2024-61 sem links.
[2025-07-14 08:25:00] Iniciando scraping do processo: 71000.042025/2024-12
[2025-07-14 08:25:03] ℹ️ Processo 71000.042025/2024-12 sem links.
[2025-07-14 08:25:03] Iniciando scraping do processo: 71000.043231/2024-31
[2025-07-14 08:25:06] ℹ️ Processo 71000.043231/2024-31 sem links.
[2025-07-14 08:25:06] Iniciando scraping do processo: 71000.016721/2024-65
[2025-07-14 08:25:08] ℹ️ Processo 71000.016721/2024-65 sem links.
[2025-07-14 08:25:08] Iniciando scraping do processo: 71000.011172/2024-32
[2025-07-14 08:25:11] ℹ️ Processo 71000.011172/2024-32 sem links.
[2025-07-14 08:25:11] Iniciando scraping do processo: 71000.042253/2024-84
[2025-07-14 08:25:14] ℹ️ Processo 71000.042253/2024-84 sem links.
[2025-07-14 08:25:14] Iniciando scraping do processo: 71000.035689/2024-17
[2025-07-14 08:25:16] ℹ️ Processo 71000.035689/2024-17 sem links.
[2025-07-14 08:25:16] Iniciando scraping do processo: 71000.040941/2024-18
[2025-07-14 08:25:19] ℹ️ Processo 71000.040941/2024-18 sem links.
[2025-07-14 08:25:19] Iniciando scraping do processo: 71000.012059/2024-74
[2025-07-14 08:25:22] ℹ️ Processo 71000.012059/2024-74 sem links.
[2025-07-14 08:25:22] Iniciando scraping do processo: 71000.016786/2024-19
[2025-07-14 08:25:25] ℹ️ Processo 71000.016786/2024-19 sem links.
[2025-07-14 08:25:25] Iniciando scraping do processo: 71000.011304/2024-26
[2025-07-14 08:25:27] ℹ️ Processo 71000.011304/2024-26 sem links.
[2025-07-14 08:25:27] Iniciando scraping do processo: 71000.013168/2024-17
[2025-07-14 08:25:30] ℹ️ Processo 71000.013168/2024-17 sem links.
[2025-07-14 08:25:30] Iniciando scraping do processo: 71000.015075/2024-19
[2025-07-14 08:25:33] ℹ️ Processo 71000.015075/2024-19 sem links.
[2025-07-14 08:25:33] Iniciando scraping do processo: 71000.011306/2024-15
[2025-07-14 08:25:35] ℹ️ Processo 71000.011306/2024-15 sem links.
